,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_II_37_1,0.01788260126084674,0.018404298233512344,0.0,4036.715
1,feynman_II_38_14,0.02115009675648918,0.022141032463976338,0.0,3151.695
2,feynman_II_38_3,0.014522385551458327,0.014732604575650298,1.0,19.764
3,feynman_II_3_24,0.013720769276286203,0.014319394068418272,1.0,13.45
4,feynman_II_4_23,0.01666613156733526,0.01509810772708751,1.0,29.826
5,feynman_II_6_11,0.012316039009787725,0.014278832166387416,1.0,56.071
6,feynman_II_6_15a,0.013479003558797796,0.016804202301703597,0.0,4880.017
7,feynman_II_6_15b,0.014375102418288668,0.016149606014386742,0.0,4865.536
8,feynman_II_8_31,0.015636481607629784,0.015654569109029952,0.0,3180.91
9,feynman_II_8_7,0.013529273188301879,0.013831824928853105,1.0,34.266
10,feynman_I_10_7,0.0276443039594971,0.027587885636968623,0.0,4042.783
11,feynman_I_11_19,0.03231543310152898,0.032586771620085844,0.0,4950.679
12,feynman_I_12_1,0.020184885917490687,0.02038165337353086,0.0,3185.89
13,feynman_I_12_11,0.010608284117682276,0.010966207336927119,1.0,1984.095
14,feynman_I_12_2,0.010686043918707661,0.01182088852231793,1.0,83.726
15,feynman_I_12_4,0.013952804812264694,0.013943169103611455,1.0,43.048
16,feynman_I_12_5,0.02063222012382144,0.02047559168400491,0.0,3188.033
17,feynman_I_13_12,0.009745185999447199,0.010604571353259505,1.0,94.347
18,feynman_I_13_4,0.02065353059134326,0.02013732295659876,0.0,4836.337
