,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_I_34_1,0.02595286295986163,0.025027151205088267,0.0,4520.412
1,feynman_I_34_14,0.025067366404363932,0.02643174003215512,0.0,4469.483
2,feynman_I_34_27,0.019603089559350376,0.020349913968612285,0.0,3460.434
3,feynman_I_34_8,0.015296508836513614,0.01471112492484821,1.0,20.875
4,feynman_I_37_4,0.015518918428935546,0.016762899775287225,0.0,4503.408
5,feynman_I_38_12,0.010070818613116476,0.012327798084002054,1.0,4834.405
6,feynman_I_39_1,0.020206126578512104,0.020015530778880575,0.0,4504.334
7,feynman_I_39_11,0.016276224542740813,0.016895001330628785,0.0,4812.637
8,feynman_I_39_22,0.015247177389559522,0.014740713592412585,1.0,20.65
9,feynman_I_40_1,0.014371278914139867,0.020092671784644443,0.0,5026.303
10,feynman_I_41_16,0.012465696461277948,0.013837895184104776,1.0,4814.11
11,feynman_I_43_16,0.014613101659980126,0.015079480118946394,1.0,22.092
12,feynman_I_43_31,0.01780163869794022,0.01709082436966132,0.0,4462.986
13,feynman_I_43_43,0.01392912201116476,0.014576417491784897,1.0,43.208
14,feynman_I_44_4,0.011054078773101748,0.012574352955652877,1.0,96.17
15,feynman_I_47_23,0.027769068505293457,0.028084075141087166,0.0,4517.732
16,feynman_I_48_2,0.016842409907741863,0.017566187586416378,0.0,4539.055
17,feynman_I_50_26,0.05478050272807862,0.07069969566263251,0.0,4852.84
