,max_deg_input,max_deg_output,max_deg_input_denominator,max_deg_output_denominator,max_deg_output_polynomials_specific,max_deg_output_polynomials_denominator_specific,width,function_names,maximal_potence,maximal_n_functions,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,dataset,target_formula,estimated_formula,relative_l2_train,relative_l2_val,relative_l2_test,r_squared_val,r_squared_test,success,training_time,n_active_coefficients,n_active_coefficients_reduced,relative_l2_distance_test_reduced,r_squared_test_reduced,r_squared_val_reduced,best_formula_reduced,n_evaluations
0,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,strogatz_bacres1,20 - x - (x * y)/(1+0.5 * x**2),(0.001*x0*cos((-0.021*x1 - 0.001)/(0.048*x0 + 0.999*x1)) + 0.001*x0 + 0.001*cos((-0.021*x1 - 0.001)/(0.048*x0 + 0.999*x1)) + 0.001)/(0.707 - 0.707*cos((-0.021*x1 - 0.001)/(0.048*x0 + 0.999*x1))),0.010001283228570714,0.010771659795884346,0.006304812701831621,0.9999096916630038,0.9999602493367948,True,688.316,19,13,0.003899917220273893,0.999984790645675,0.9997058896772435,(-12.412*x0*cos((-0.327*x0 - 0.094*x1 + 0.008)/(0.992*x0 + 0.092*x1 + 0.084)) + 11.624*x0 - 0.297*x1*cos((-0.327*x0 - 0.094*x1 + 0.008)/(0.992*x0 + 0.092*x1 + 0.084)) + 1.336*cos((-0.327*x0 - 0.094*x1 + 0.008)/(0.992*x0 + 0.092*x1 + 0.084)) + 1.397)/(0.749 - 0.662*cos((-0.327*x0 - 0.094*x1 + 0.008)/(0.992*x0 + 0.092*x1 + 0.084))),422178
1,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,strogatz_bacres2,10 - (x * y)/(1+0.5 * x**2),(-7.851*x0*sqrt(Abs((0.108*x0**2 + 0.006*x0*x1 + 0.002*x0 - 0.039*x1**2 + 0.003*x1 - 0.015)/(0.001*x0 + 0.035*x1 - 0.999))) + 1.552*x1*sqrt(Abs((0.108*x0**2 + 0.006*x0*x1 + 0.002*x0 - 0.039*x1**2 + 0.003*x1 - 0.015)/(0.001*x0 + 0.035*x1 - 0.999))) + 0.008*sqrt(Abs((0.108*x0**2 + 0.006*x0*x1 + 0.002*x0 - 0.039*x1**2 + 0.003*x1 - 0.015)/(0.001*x0 + 0.035*x1 - 0.999))))/(0.021*x0**2 - 0.001*x0*x1 - 0.849*x0*sqrt(Abs((0.108*x0**2 + 0.006*x0*x1 + 0.002*x0 - 0.039*x1**2 + 0.003*x1 - 0.015)/(0.001*x0 + 0.035*x1 - 0.999))) - 0.278*x0 - 0.005*x1**2 + 0.024*x1*sqrt(Abs((0.108*x0**2 + 0.006*x0*x1 + 0.002*x0 - 0.039*x1**2 + 0.003*x1 - 0.015)/(0.001*x0 + 0.035*x1 - 0.999))) + 0.103*x1 + 0.277*sqrt(Abs((0.108*x0**2 + 0.006*x0*x1 + 0.002*x0 - 0.039*x1**2 + 0.003*x1 - 0.015)/(0.001*x0 + 0.035*x1 - 0.999))) + 0.336),0.02397536056177791,0.021977202017336665,0.023014196885327794,0.9995008209906474,0.9994703467417234,False,2063.822,21,14,0.03201317807706192,0.9989751564294064,0.9995616548361387,(-7.868*x0*sqrt(Abs((0.119*x0**2 + 0.681*x1**2 + 0.016)/(0.035*x1 - 0.999))) + 1.554*x1*sqrt(Abs((0.119*x0**2 + 0.681*x1**2 + 0.016)/(0.035*x1 - 0.999))))/(-0.003*x0**2 - 0.8*x0*sqrt(Abs((0.119*x0**2 + 0.681*x1**2 + 0.016)/(0.035*x1 - 0.999))) - 0.337*x0 - 0.003*x1*sqrt(Abs((0.119*x0**2 + 0.681*x1**2 + 0.016)/(0.035*x1 - 0.999))) + 0.084*x1 + 0.31*sqrt(Abs((0.119*x0**2 + 0.681*x1**2 + 0.016)/(0.035*x1 - 0.999))) + 0.378),998890
2,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,strogatz_barmag1, 0.5 * sin(x - y) - sin(x),(0.017*x0**2 + 0.078*x0*x1 - 0.876*x0*sqrt(Abs((-0.007*x0**2 + 0.002*x0*x1 + 0.057*x0 + 0.078*x1**2 - 0.16*x1 + 0.712)/(0.06*x0**2 + 0.07*x0*x1 + 0.318*x0 + 0.075*x1**2 - 0.939*x1 + 0.05))) + 0.07*x0 - 0.002*x1**2 + 0.377*x1*sqrt(Abs((-0.007*x0**2 + 0.002*x0*x1 + 0.057*x0 + 0.078*x1**2 - 0.16*x1 + 0.712)/(0.06*x0**2 + 0.07*x0*x1 + 0.318*x0 + 0.075*x1**2 - 0.939*x1 + 0.05))) - 0.528*x1 + 1.529*sqrt(Abs((-0.007*x0**2 + 0.002*x0*x1 + 0.057*x0 + 0.078*x1**2 - 0.16*x1 + 0.712)/(0.06*x0**2 + 0.07*x0*x1 + 0.318*x0 + 0.075*x1**2 - 0.939*x1 + 0.05))) + 0.577)/(-0.103*x0 + 0.048*x1 - 0.736*sqrt(Abs((-0.007*x0**2 + 0.002*x0*x1 + 0.057*x0 + 0.078*x1**2 - 0.16*x1 + 0.712)/(0.06*x0**2 + 0.07*x0*x1 + 0.318*x0 + 0.075*x1**2 - 0.939*x1 + 0.05))) + 0.667),0.013697629854400019,0.010369585045835843,0.00434687062797197,0.9998581897039441,0.9999811047157436,True,2050.349,25,25,0.00434687062797197,0.9999811047157436,0.999643854839823,(0.017*x0**2 + 0.078*x0*x1 - 0.876*x0*sqrt(Abs((-0.007*x0**2 + 0.002*x0*x1 + 0.057*x0 + 0.078*x1**2 - 0.16*x1 + 0.712)/(0.06*x0**2 + 0.07*x0*x1 + 0.318*x0 + 0.075*x1**2 - 0.939*x1 + 0.05))) + 0.07*x0 - 0.002*x1**2 + 0.377*x1*sqrt(Abs((-0.007*x0**2 + 0.002*x0*x1 + 0.057*x0 + 0.078*x1**2 - 0.16*x1 + 0.712)/(0.06*x0**2 + 0.07*x0*x1 + 0.318*x0 + 0.075*x1**2 - 0.939*x1 + 0.05))) - 0.528*x1 + 1.529*sqrt(Abs((-0.007*x0**2 + 0.002*x0*x1 + 0.057*x0 + 0.078*x1**2 - 0.16*x1 + 0.712)/(0.06*x0**2 + 0.07*x0*x1 + 0.318*x0 + 0.075*x1**2 - 0.939*x1 + 0.05))) + 0.577)/(-0.103*x0 + 0.048*x1 - 0.736*sqrt(Abs((-0.007*x0**2 + 0.002*x0*x1 + 0.057*x0 + 0.078*x1**2 - 0.16*x1 + 0.712)/(0.06*x0**2 + 0.07*x0*x1 + 0.318*x0 + 0.075*x1**2 - 0.939*x1 + 0.05))) + 0.667),999231
3,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,strogatz_barmag2, 0.5 * sin(y - x) - sin(y),(0.061*x0**3*x1 - 0.022*x0**3*cos(0.815*x0 - 1.34*x1) - 0.094*x0**3 - 0.105*x0**2*x1**2 - 0.099*x0**2*x1*cos(0.815*x0 - 1.34*x1) - 0.114*x0**2*x1 + 0.288*x0**2*cos(0.815*x0 - 1.34*x1) + 0.523*x0**2 + 0.042*x0*x1**3 + 0.243*x0*x1**2*cos(0.815*x0 - 1.34*x1) - 0.002*x0*x1**2 - 0.022*x0*x1*cos(0.815*x0 - 1.34*x1) - 0.001*x0*x1 + 0.028*x0 - 0.14*x1**3*cos(0.815*x0 - 1.34*x1) + 0.079*x1**3 - 0.44*x1**2*cos(0.815*x0 - 1.34*x1) - 0.001*x1**2 - 0.001*x1*cos(0.815*x0 - 1.34*x1) - 0.002*x1 - 0.002*cos(0.815*x0 - 1.34*x1) + 0.002)/(0.018*x0**2 - 0.515*x0*x1 + 0.16*x0*cos(0.815*x0 - 1.34*x1) - 0.336*x0 + 0.771*x1**2 + 0.001*x1*cos(0.815*x0 - 1.34*x1) - 0.005*x1 - 0.025*cos(0.815*x0 - 1.34*x1) + 0.002),0.010688045458830047,0.009517129308375623,0.006886082226259494,0.9998823761880384,0.9999525818715732,True,2091.647,35,23,0.006184882902160037,0.9999617472234865,0.9998841740267311,(0.061*x0**3*x1 - 0.021*x0**3*cos(0.814*x0 - 1.34*x1) - 0.094*x0**3 - 0.106*x0**2*x1**2 - 0.098*x0**2*x1*cos(0.814*x0 - 1.34*x1) - 0.116*x0**2*x1 + 0.286*x0**2*cos(0.814*x0 - 1.34*x1) + 0.522*x0**2 + 0.043*x0*x1**3 + 0.244*x0*x1**2*cos(0.814*x0 - 1.34*x1) - 0.023*x0*x1*cos(0.814*x0 - 1.34*x1) + 0.028*x0 - 0.141*x1**3*cos(0.814*x0 - 1.34*x1) + 0.076*x1**3 - 0.44*x1**2*cos(0.814*x0 - 1.34*x1))/(0.018*x0**2 - 0.517*x0*x1 + 0.158*x0*cos(0.814*x0 - 1.34*x1) - 0.336*x0 + 0.771*x1**2 - 0.025*cos(0.814*x0 - 1.34*x1)),998492
4,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,strogatz_glider1, -0.05 * x**2 - sin(y),-0.049*x0**2 + 0.001*x0*cos(1.0*x1 - 1.573) - 0.007*x0 - 1.004*cos(1.0*x1 - 1.573) + 0.01,0.009081344238621298,0.011530687314672865,0.002323516248054391,0.9998977255258812,0.999994601272245,True,84.285,12,4,0.00048231947032515647,0.9999997673679285,0.9999322742502496,-0.05*x0**2 - 1.0*cos(1.0*x1 - 1.571),85399
5,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,strogatz_glider2, x - cos(y)/x,(0.001*x0**3 + 0.015*x0**2*cos(1.0*x1 + 0.007) + 0.99*x0**2 + 0.001*x0*x1*cos(1.0*x1 + 0.007) + 0.001*x0*x1 - 0.066*x0*cos(1.0*x1 + 0.007) + 0.012*x0 - 0.008*x1*cos(1.0*x1 + 0.007) - 0.001*x1 - 0.893*cos(1.0*x1 + 0.007) + 0.001)/(1.0*x0 + 0.005*cos(1.0*x1 + 0.007)),0.02489509995025543,0.02748373105842087,0.0091692209336899,0.9993605079056987,0.9999159253874692,False,2055.052,23,5,0.005326932199250717,0.9999716237933446,0.9996169766792878,1.0*(1.001*x0**2 - 0.004*x0*cos(1.0*x1) - 1.002*cos(1.0*x1))/x0,998382
6,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,strogatz_lv1,3  * x - 2  * x * y - x**2,(-0.714*x0**2 - 1.436*x0*x1 + 2.139*x0 + 0.001*x1**2 - 0.001*x1 + 0.002)/(0.002*x0**3 - 0.03*x0**2*x1 + 0.038*x0**2 - 0.001*x0*x1**2 + 0.129*x0*x1 - 0.204*x0 + 0.001*x1**3 - 0.001*x1**2 - 0.131*x1 + 0.96),0.00890484575653754,0.07307139478809027,0.08147029742647234,0.9953344773127366,0.9933625906372421,False,2068.899,16,9,0.14933474308591932,0.9776991345074625,0.9923413940419923,(-0.719*x0**2 - 1.434*x0*x1 + 2.153*x0)/(-0.033*x0**2*x1 + 0.063*x0**2 + 0.129*x0*x1 - 0.248*x0 - 0.111*x1 + 0.951),999634
7,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,strogatz_lv2,2 * y - x * y - y**2,-0.439*x0*exp((0.021*x0**2 - 0.055*x0*x1 - 0.081*x0 - 0.779*x1**2 - 0.129*x1 + 0.314)/(0.021*x0**2 + 0.014*x0*x1 - 0.214*x0 - 0.154*x1**2 - 0.883*x1 + 0.388)) - 0.437*x1*exp((0.021*x0**2 - 0.055*x0*x1 - 0.081*x0 - 0.779*x1**2 - 0.129*x1 + 0.314)/(0.021*x0**2 + 0.014*x0*x1 - 0.214*x0 - 0.154*x1**2 - 0.883*x1 + 0.388)) + 0.874*exp((0.021*x0**2 - 0.055*x0*x1 - 0.081*x0 - 0.779*x1**2 - 0.129*x1 + 0.314)/(0.021*x0**2 + 0.014*x0*x1 - 0.214*x0 - 0.154*x1**2 - 0.883*x1 + 0.388)),0.00949558076113247,0.026852736738717443,0.06405086701934701,0.9988905795736629,0.99589748643407,False,2058.328,15,15,0.06405086701934701,0.99589748643407,0.9999450833969562,-0.439*x0*exp((0.021*x0**2 - 0.055*x0*x1 - 0.081*x0 - 0.779*x1**2 - 0.129*x1 + 0.314)/(0.021*x0**2 + 0.014*x0*x1 - 0.214*x0 - 0.154*x1**2 - 0.883*x1 + 0.388)) - 0.437*x1*exp((0.021*x0**2 - 0.055*x0*x1 - 0.081*x0 - 0.779*x1**2 - 0.129*x1 + 0.314)/(0.021*x0**2 + 0.014*x0*x1 - 0.214*x0 - 0.154*x1**2 - 0.883*x1 + 0.388)) + 0.874*exp((0.021*x0**2 - 0.055*x0*x1 - 0.081*x0 - 0.779*x1**2 - 0.129*x1 + 0.314)/(0.021*x0**2 + 0.014*x0*x1 - 0.214*x0 - 0.154*x1**2 - 0.883*x1 + 0.388)),999769
8,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,strogatz_predprey1,x  * ( 4 - x - (y)/(1+x) ),(-0.62*x0**3 + 0.01*x0**2*x1 + 1.759*x0**2 + 0.005*x0*x1**2 - 0.713*x0*x1 + 2.955*x0 - 0.004*x1**2 + 0.019*x1 - 0.028)/(0.62*x0 - 0.019*x1 + 0.785),0.00903414280699443,0.013211161802695208,0.0031071580414681987,0.999824368203959,0.9999903455689053,True,7.992,13,13,0.0031071580414681987,0.9999903455689053,0.9999794792585038,(-0.62*x0**3 + 0.01*x0**2*x1 + 1.759*x0**2 + 0.005*x0*x1**2 - 0.713*x0*x1 + 2.955*x0 - 0.004*x1**2 + 0.019*x1 - 0.028)/(0.62*x0 - 0.019*x1 + 0.785),9825
9,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.01,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,strogatz_predprey2,y * ( (x)/(1+x) - 0.075 * y ),(0.003*x0**3 - 0.003*x0**2*x1 - 0.052*x0*x1**2 + 0.708*x0*x1 - 0.051*x1**2 - 0.009*x1 + 0.011)/(0.709*x0 + 0.706),0.010822907721050594,0.009578274048970695,0.0020651552319307146,0.9998694222109139,0.9999957351338681,True,7.914,13,5,0.0012661085038990867,0.9999983969692564,0.9999249794400759,(-0.053*x0*x1**2 + 0.708*x0*x1 - 0.053*x1**2)/(0.709*x0 + 0.706),9732
