,dataset,relative_l2_train,relative_l2_val,success,training_time
0,strogatz_bacres1,0.010001283228570714,0.010771659795884346,1.0,688.316
1,strogatz_bacres2,0.02397536056177791,0.021977202017336665,0.0,2063.822
2,strogatz_barmag1,0.013697629854400019,0.010369585045835843,1.0,2050.349
3,strogatz_barmag2,0.010688045458830047,0.009517129308375623,1.0,2091.647
4,strogatz_glider1,0.009081344238621298,0.011530687314672865,1.0,84.285
5,strogatz_glider2,0.02489509995025543,0.02748373105842087,0.0,2055.052
6,strogatz_lv1,0.00890484575653754,0.07307139478809027,0.0,2068.899
7,strogatz_lv2,0.00949558076113247,0.026852736738717443,0.0,2058.328
8,strogatz_predprey1,0.00903414280699443,0.013211161802695208,1.0,7.992
9,strogatz_predprey2,0.010822907721050594,0.009578274048970695,1.0,7.914
10,strogatz_shearflow1,0.009536510473790717,0.030742758520008098,0.0,2102.225
11,strogatz_shearflow2,0.011364940738475023,0.015021402168335729,1.0,2099.83
12,strogatz_vdp1,0.01028216665459433,0.010762713767126928,1.0,0.915
13,strogatz_vdp2,0.010908211265394787,0.009751288659435763,1.0,0.866
