,max_deg_input,max_deg_output,max_deg_input_denominator,max_deg_output_denominator,max_deg_output_polynomials_specific,max_deg_output_polynomials_denominator_specific,width,function_names,maximal_potence,maximal_n_functions,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,lambda_1_finetuning,dataset,target_formula,estimated_formula,relative_l2_train,relative_l2_val,relative_l2_test,r_squared_val,r_squared_test,success,training_time,n_active_coefficients,n_active_coefficients_reduced,relative_l2_distance_test_reduced,r_squared_test_reduced,r_squared_val_reduced,best_formula_reduced,n_evaluations
0,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,strogatz_bacres1,20 - x - (x * y)/(1+0.5 * x**2),(-0.003*x0**3 - 0.012*x0**2*x1 + 0.755135634430636*x0**2*exp(-0.127*x0 - 0.052*x1) - 0.027*x0**2 + 0.931179524665999*x0*x1*exp(-0.127*x0 - 0.052*x1) + 0.251*x0*x1 + 0.122767449769398*x0*exp(-0.127*x0 - 0.052*x1) + 0.004*x0 + 0.192258459072831*x1**2*exp(-0.127*x0 - 0.052*x1) - 0.043*x1**2 + 0.0115818348839055*x1*exp(-0.127*x0 - 0.052*x1) + 0.02*x1 - 0.0347455046517164*exp(-0.127*x0 - 0.052*x1) - 0.001)/(0.326*x0 + 0.22*x1 - 0.324291376749353*exp(-0.127*x0 - 0.052*x1) - 0.909),0.0008245753703131139,0.0013872320009487254,0.002490097174956889,0.9999995506943108,0.9999937994160593,False,1677.229,23,23,0.002490097174956889,0.9999937994160593,0.9999989064047334,(-0.003*x0**3 - 0.012*x0**2*x1 + 0.755135634430636*x0**2*exp(-0.127*x0 - 0.052*x1) - 0.027*x0**2 + 0.931179524665999*x0*x1*exp(-0.127*x0 - 0.052*x1) + 0.251*x0*x1 + 0.122767449769398*x0*exp(-0.127*x0 - 0.052*x1) + 0.004*x0 + 0.192258459072831*x1**2*exp(-0.127*x0 - 0.052*x1) - 0.043*x1**2 + 0.0115818348839055*x1*exp(-0.127*x0 - 0.052*x1) + 0.02*x1 - 0.0347455046517164*exp(-0.127*x0 - 0.052*x1) - 0.001)/(0.326*x0 + 0.22*x1 - 0.324291376749353*exp(-0.127*x0 - 0.052*x1) - 0.909),999362
1,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,strogatz_bacres2,10 - (x * y)/(1+0.5 * x**2),8.07900000000000,6.164200026548641e-05,0.0008147691579424757,0.004023127580189156,0.999999281137416,0.9999838144444735,False,1628.992,14,14,0.004023127580189156,0.9999838144444735,0.9999999966649313,8.07900000000000,995292
2,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,strogatz_barmag1, 0.5 * sin(x - y) - sin(x),(0.067*x0**2 + 0.409*x0*x1 - 0.052*x0*cos((0.423*x0**2 + 0.404*x0*x1 - 2.337*x0 - 1.051*x1**2 - 0.55*x1 - 0.008)/(-0.114*x0**2 - 0.146*x0*x1 - 0.32*x0 - 0.116*x1**2 - 0.209*x1 + 0.898)) - 0.336*x0 - 0.227*x1**2 - 0.632*x1*cos((0.423*x0**2 + 0.404*x0*x1 - 2.337*x0 - 1.051*x1**2 - 0.55*x1 - 0.008)/(-0.114*x0**2 - 0.146*x0*x1 - 0.32*x0 - 0.116*x1**2 - 0.209*x1 + 0.898)) - 1.231*x1 - 0.362*cos((0.423*x0**2 + 0.404*x0*x1 - 2.337*x0 - 1.051*x1**2 - 0.55*x1 - 0.008)/(-0.114*x0**2 - 0.146*x0*x1 - 0.32*x0 - 0.116*x1**2 - 0.209*x1 + 0.898)) + 0.089)/(-0.072*x0 + 0.108*x1 + 0.212*cos((0.423*x0**2 + 0.404*x0*x1 - 2.337*x0 - 1.051*x1**2 - 0.55*x1 - 0.008)/(-0.114*x0**2 - 0.146*x0*x1 - 0.32*x0 - 0.116*x1**2 - 0.209*x1 + 0.898)) - 0.969),0.00283577211467519,0.002625833135639212,0.004682003687660584,0.9999897077015173,0.9999780788414687,False,1634.362,25,25,0.004682003687660584,0.9999780788414687,0.9999887544320769,(0.067*x0**2 + 0.409*x0*x1 - 0.052*x0*cos((0.423*x0**2 + 0.404*x0*x1 - 2.337*x0 - 1.051*x1**2 - 0.55*x1 - 0.008)/(-0.114*x0**2 - 0.146*x0*x1 - 0.32*x0 - 0.116*x1**2 - 0.209*x1 + 0.898)) - 0.336*x0 - 0.227*x1**2 - 0.632*x1*cos((0.423*x0**2 + 0.404*x0*x1 - 2.337*x0 - 1.051*x1**2 - 0.55*x1 - 0.008)/(-0.114*x0**2 - 0.146*x0*x1 - 0.32*x0 - 0.116*x1**2 - 0.209*x1 + 0.898)) - 1.231*x1 - 0.362*cos((0.423*x0**2 + 0.404*x0*x1 - 2.337*x0 - 1.051*x1**2 - 0.55*x1 - 0.008)/(-0.114*x0**2 - 0.146*x0*x1 - 0.32*x0 - 0.116*x1**2 - 0.209*x1 + 0.898)) + 0.089)/(-0.072*x0 + 0.108*x1 + 0.212*cos((0.423*x0**2 + 0.404*x0*x1 - 2.337*x0 - 1.051*x1**2 - 0.55*x1 - 0.008)/(-0.114*x0**2 - 0.146*x0*x1 - 0.32*x0 - 0.116*x1**2 - 0.209*x1 + 0.898)) - 0.969),998876
3,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,strogatz_barmag2, 0.5 * sin(y - x) - sin(y),0.028*x0**3*x1 - 0.057*x0**3*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) + 0.073*x0**3 - 0.139*x0**2*x1**2 + 0.249*x0**2*x1*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) - 0.369*x0**2*x1 + 0.03*x0**2*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) + 0.152*x0**2 + 0.134*x0*x1**3 - 0.004*x0*x1**2*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) - 0.599*x0*x1**2 + 0.051*x0*x1*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) - 0.189*x0*x1 - 0.008*x0*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) - 0.001*x0 - 0.172*x1**3*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) + 0.14*x1**3 + 1.626*x1**2*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) - 0.026*x1**2 - 1.025*x1*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) - 0.936*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) - 0.01,0.0020380010611498337,0.0027823780070999012,0.003184201402479251,0.9999953276061982,0.9999898608614285,False,1697.248,29,29,0.003184201402479251,0.9999898608614285,0.9999955362707156,0.028*x0**3*x1 - 0.057*x0**3*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) + 0.073*x0**3 - 0.139*x0**2*x1**2 + 0.249*x0**2*x1*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) - 0.369*x0**2*x1 + 0.03*x0**2*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) + 0.152*x0**2 + 0.134*x0*x1**3 - 0.004*x0*x1**2*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) - 0.599*x0*x1**2 + 0.051*x0*x1*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) - 0.189*x0*x1 - 0.008*x0*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) - 0.001*x0 - 0.172*x1**3*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) + 0.14*x1**3 + 1.626*x1**2*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) - 0.026*x1**2 - 1.025*x1*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) - 0.936*sqrt(Abs(0.079*x0**2 - 0.318*x0*x1 - 0.965*x0 + 0.228*x1**2 + 0.098*x1 + 0.003)) - 0.01,996362
4,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,strogatz_glider1, -0.05 * x**2 - sin(y),-0.05*x0**2 - 1.0*cos(1.0*x1 - 1.571),3.807267153858596e-08,2.8112258510160066e-08,4.019395484396533e-08,0.9999999999999992,0.9999999999999983,True,159.022,12,4,3.677570296730716e-08,0.9999999999999987,0.999999999999999,-0.05*x0**2 - 1.0*cos(1.0*x1 - 1.571),164579
5,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,strogatz_glider2, x - cos(y)/x,(1.0*x0**2 - 0.001*x0 - 0.998*cos(1.0*x1) - 0.001)/(1.0*x0 - 0.001),0.00013192378368738527,0.000321443687927904,0.00013371256861241507,0.9999999926860547,0.999999982120949,False,1641.011,16,4,9.658854178387966e-08,0.9999999999999907,0.9999999999999926,1.0*(1.0*x0**2 - 1.0*cos(1.0*x1))/x0,996239
6,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,strogatz_lv1,3  * x - 2  * x * y - x**2,-1.0*x0**2 - 2.0*x0*x1 + 3.0*x0,7.508327749510981e-07,1.809195553152305e-05,1.7233705220810716e-05,0.9999999999572675,0.9999999997029994,True,10.541,9,4,1.1964328239093696e-07,0.9999999999999857,0.9999999999999996,-1.0*x0**2 - 2.0*x0*x1 + 3.0*x0,13911
7,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,strogatz_lv2,2 * y - x * y - y**2,-1.0*x0*x1 - 1.0*x1**2 + 2.0*x1,6.508468514543229e-08,1.7594190469206893e-07,1.5631988504305105e-07,0.9999999999997886,0.9999999999999756,True,3.827,13,3,1.5670584892234683e-07,0.9999999999999755,0.9999999999999591,-1.0*x0*x1 - 1.0*x1**2 + 2.0*x1,5714
8,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,strogatz_predprey1,x  * ( 4 - x - (y)/(1+x) ),(0.707*x0**3 - 2.12*x0**2 + 0.707*x0*x1 - 2.829*x0)/(-0.707*x0 - 0.707),5.59338050784012e-06,9.885495869130514e-06,4.935409610068283e-06,0.9999999999684964,0.9999999999756417,True,15.013,13,6,4.3954558118474733e-08,0.9999999999999981,0.9999999999999905,(0.707*x0**3 - 2.121*x0**2 + 0.707*x0*x1 - 2.828*x0)/(-0.707*x0 - 0.707),18883
9,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,200,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,1e-05,strogatz_predprey2,y * ( (x)/(1+x) - 0.075 * y ),(0.053*x0*x1**2 - 0.707*x0*x1 + 0.053*x1**2)/(-0.707*x0 - 0.707),8.804364015100434e-06,8.615587244507341e-06,8.771391863698335e-06,0.9999999999283047,0.9999999999230627,True,15.833,13,5,8.886906341480476e-08,0.9999999999999921,0.9999999999999943,(0.053*x0*x1**2 - 0.707*x0*x1 + 0.053*x1**2)/(-0.707*x0 - 0.707),20010
