,dataset,relative_l2_train,relative_l2_val,success,training_time
0,strogatz_bacres1,0.0008245753703131139,0.0013872320009487254,0.0,1677.229
1,strogatz_bacres2,6.164200026548641e-05,0.0008147691579424757,0.0,1628.992
2,strogatz_barmag1,0.00283577211467519,0.002625833135639212,0.0,1634.362
3,strogatz_barmag2,0.0020380010611498337,0.0027823780070999012,0.0,1697.248
4,strogatz_glider1,3.807267153858596e-08,2.8112258510160066e-08,1.0,159.022
5,strogatz_glider2,0.00013192378368738527,0.000321443687927904,0.0,1641.011
6,strogatz_lv1,7.508327749510981e-07,1.809195553152305e-05,1.0,10.541
7,strogatz_lv2,6.508468514543229e-08,1.7594190469206893e-07,1.0,3.827
8,strogatz_predprey1,5.59338050784012e-06,9.885495869130514e-06,1.0,15.013
9,strogatz_predprey2,8.804364015100434e-06,8.615587244507341e-06,1.0,15.833
10,strogatz_shearflow1,0.005309177968762536,0.018719427852156845,0.0,1763.358
11,strogatz_shearflow2,0.004081641177060815,0.005079722333076049,0.0,1771.126
12,strogatz_vdp1,2.0224301742523447e-07,2.3541527568773052e-07,1.0,4.028
13,strogatz_vdp2,2.843929689657021e-08,2.879169767394463e-08,1.0,4.563
