,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_II_11_28,4.9192537934282455e-06,5.1043554804398855e-06,1.0,45.217
1,feynman_II_11_3,3.8001454788872825e-05,5.262410267464424e-05,1.0,227.002
2,feynman_II_13_17,0.003329698966498432,0.004823404213894234,0.0,4804.512
3,feynman_II_13_23,4.0074579430604784e-05,4.411825257472617e-05,1.0,822.774
4,feynman_II_13_34,0.00012888368262963643,0.00013958078093347925,0.0,3865.583
5,feynman_II_15_4,5.5604306650998704e-08,5.501285556360391e-08,1.0,782.388
6,feynman_II_15_5,5.5472457567218385e-08,5.395130723368756e-08,1.0,777.11
7,feynman_II_21_32,0.0002324434041867362,0.0016304879682503607,0.0,4862.53
8,feynman_II_24_17,0.0014076129988009566,0.0015557676935191802,0.0,3847.356
9,feynman_II_27_16,1.016085752077765e-07,1.0283635323481596e-07,1.0,10.648
10,feynman_II_27_18,1.0357047570530518e-07,1.0539848081476768e-07,1.0,8.113
11,feynman_II_2_42,8.401913108488629e-08,8.765363832637667e-08,1.0,62.225
12,feynman_II_34_11,4.70110784844439e-07,5.584691683562507e-07,1.0,44.77
13,feynman_II_34_2,7.795557663634029e-08,7.893403754453368e-08,1.0,10.483
14,feynman_II_34_29a,7.401204213810381e-08,7.429097058912594e-08,1.0,27.921
15,feynman_II_34_29b,9.005687555507111e-08,1.0354265750471454e-07,1.0,85.188
16,feynman_II_34_2a,7.070388721955448e-08,7.313405632882629e-08,1.0,27.544
17,feynman_II_35_18,0.002479485031547547,0.002641217412134566,0.0,4839.059
