,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_I_15_3t,0.0007325007954333915,0.0009285403991645935,0.0,4813.41675
1,feynman_I_15_3x,0.0008063227075519527,0.0008934678750288157,0.0,4818.75075
2,feynman_I_16_6,7.949487799707006e-05,8.594259114504682e-05,0.75,2371.20725
3,feynman_I_18_12,5.2184000130911416e-08,5.2563532835742306e-08,1.0,361.076
4,feynman_I_18_14,2.960996994289157e-07,3.0483704351773035e-07,1.0,1669.32175
5,feynman_I_18_4,2.2437261541969165e-05,2.289799832082167e-05,1.0,14.55575
6,feynman_I_24_6,0.0007630846898923113,0.0008546817625425784,0.0,4805.40575
7,feynman_I_25_13,5.984602525607536e-07,6.034813455592077e-07,1.0,5.4665
8,feynman_I_26_2,0.00668325741211192,0.008905967766143878,0.0,3066.8255
9,feynman_I_27_6,3.0145766996374125e-05,3.068225488350406e-05,1.0,699.3372499999999
10,feynman_I_29_16,0.023148074476223832,0.032288802057290816,0.0,4824.8765
11,feynman_I_29_4,2.259549172432512e-06,2.3001519741672273e-06,1.0,5.462
12,feynman_I_30_3,0.05997477663041738,0.07409997887750652,0.0,4495.6810000000005
13,feynman_I_30_5,0.00021605241201011962,0.0006077805952127893,0.0,4552.1002499999995
14,feynman_I_32_17,0.004744794781092037,0.009106407318606305,0.0,4917.89525
15,feynman_I_32_5,0.002828187680388098,0.00669201479110104,0.0,4815.367749999999
16,feynman_I_34_1,2.1246847624146e-05,2.7967864981536157e-05,1.0,552.8675000000001
17,feynman_I_34_14,4.946069138438388e-05,5.0884945075096146e-05,0.75,1341.02275
18,feynman_I_34_27,7.552381258201937e-08,7.647289729253413e-08,1.0,2.6205
19,feynman_I_34_8,2.7498454290588563e-05,3.011083612833956e-05,1.0,17.64975
