,max_deg_input,max_deg_output,max_deg_input_denominator,max_deg_output_denominator,max_deg_output_polynomials_specific,max_deg_output_polynomials_denominator_specific,width,function_names,maximal_potence,maximal_n_functions,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,dataset,target_formula,estimated_formula,relative_l2_train,relative_l2_val,relative_l2_test,r_squared_val,r_squared_test,success,training_time,n_active_coefficients,n_active_coefficients_reduced,relative_l2_distance_test_reduced,r_squared_test_reduced,r_squared_val_reduced,best_formula_reduced,n_evaluations
0,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.0,0.0,basinhopping,1,0.01,,BFGS,50,500,0.001,1,False,4,0,0,cpu,0.0001,4800,1000000,True,10,strogatz_bacres1,20 - x - (x * y)/(1+0.5 * x**2),(0.078*x0**3*x1 - 0.039*x0**3*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) - 0.01*x0**3 + 0.714*x0**2*x1**2 - 0.35*x0**2*x1*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) - 0.911*x0**2*x1 - 0.034*x0**2*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) + 0.009*x0*x1**3 - 6.278*x0*x1**2*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) - 8.177*x0*x1**2 + 0.003*x0*x1*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) - 0.019*x0*x1 + 0.001*x0*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) - 0.002*x0 + 0.96*x1**3*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) + 0.404*x1**3 + 0.002*x1**2*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) + 0.004*x1**2 - 0.004*x1*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) - 0.001*x1 + 0.013*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) - 0.002)/(-0.005*x0**3 - 0.011*x0**2*x1 - 0.108*x0**2*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) - 0.065*x0**2 - 0.76*x0*x1**2 - 0.002*x0*x1*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) - 0.448*x0*x1 + 0.032*x0*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) + 0.054*x0 - 0.008*x1**3 + 0.001*x1**2*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) + 0.448*x1**2 - 0.004*x1*cos((-0.005*x0 + 0.061*x1 - 0.014)/(-0.691*x0**2 + 0.555*x0*x1 + 0.164*x0 - 0.141*x1**2 + 0.005*x1 + 0.41)) - 0.006*x1 + 0.025),0.00040847526638912045,0.0005570500105710378,0.0049813645612839,0.9999998004485446,0.9999751860071076,False,2208.578,48,28,0.018375941287446667,0.9996623247818003,0.9998122156387355,(0.04*x0**3*x1 + 0.282*x0**3*cos((0.007*x1 + 0.042)/(-0.801*x0**2 + 0.389*x0*x1 + 0.204*x0 - 0.051*x1**2 + 0.403)) + 0.743*x0**2*x1**2 - 0.36*x0**2*x1*cos((0.007*x1 + 0.042)/(-0.801*x0**2 + 0.389*x0*x1 + 0.204*x0 - 0.051*x1**2 + 0.403)) - 0.922*x0**2*x1 - 0.028*x0**2*cos((0.007*x1 + 0.042)/(-0.801*x0**2 + 0.389*x0*x1 + 0.204*x0 - 0.051*x1**2 + 0.403)) - 6.299*x0*x1**2*cos((0.007*x1 + 0.042)/(-0.801*x0**2 + 0.389*x0*x1 + 0.204*x0 - 0.051*x1**2 + 0.403)) - 8.197*x0*x1**2 - 0.024*x0*x1 + 0.988*x1**3*cos((0.007*x1 + 0.042)/(-0.801*x0**2 + 0.389*x0*x1 + 0.204*x0 - 0.051*x1**2 + 0.403)) + 0.434*x1**3 + 0.011*cos((0.007*x1 + 0.042)/(-0.801*x0**2 + 0.389*x0*x1 + 0.204*x0 - 0.051*x1**2 + 0.403)))/(-0.018*x0**2*x1 + 0.048*x0**2*cos((0.007*x1 + 0.042)/(-0.801*x0**2 + 0.389*x0*x1 + 0.204*x0 - 0.051*x1**2 + 0.403)) + 0.103*x0**2 - 0.76*x0*x1**2 - 0.531*x0*x1 + 0.053*x0*cos((0.007*x1 + 0.042)/(-0.801*x0**2 + 0.389*x0*x1 + 0.204*x0 - 0.051*x1**2 + 0.403)) + 0.082*x0 + 0.343*x1**2 + 0.028),999318
1,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.0,0.0,basinhopping,1,0.01,,BFGS,50,1000,0.001,1,False,4,0,0,cpu,0.0001,4800,1000000,True,10,strogatz_bacres1,20 - x - (x * y)/(1+0.5 * x**2),(-0.332*x0**2*exp((-0.389*x0 + 0.004*x1 + 0.083)/(0.38*x0**2 + 0.028*x0*x1 - 0.924*x0 - 0.001*x1**2 + 0.025*x1 + 0.029)) - 0.002*x0*x1*exp((-0.389*x0 + 0.004*x1 + 0.083)/(0.38*x0**2 + 0.028*x0*x1 - 0.924*x0 - 0.001*x1**2 + 0.025*x1 + 0.029)) + 6.642*x0*exp((-0.389*x0 + 0.004*x1 + 0.083)/(0.38*x0**2 + 0.028*x0*x1 - 0.924*x0 - 0.001*x1**2 + 0.025*x1 + 0.029)) - 0.614*x1*exp((-0.389*x0 + 0.004*x1 + 0.083)/(0.38*x0**2 + 0.028*x0*x1 - 0.924*x0 - 0.001*x1**2 + 0.025*x1 + 0.029)) - 0.063*exp((-0.389*x0 + 0.004*x1 + 0.083)/(0.38*x0**2 + 0.028*x0*x1 - 0.924*x0 - 0.001*x1**2 + 0.025*x1 + 0.029)))/(0.331*x0 + 0.004*x1 + 0.475*exp((-0.389*x0 + 0.004*x1 + 0.083)/(0.38*x0**2 + 0.028*x0*x1 - 0.924*x0 - 0.001*x1**2 + 0.025*x1 + 0.029)) - 0.815),0.0001776256544724975,0.00027282250316435603,0.0009952946263187049,0.9999999644625985,0.9999990093886069,False,2215.414,19,14,0.006020884502608499,0.9999637489498062,0.9999991502375231,(-0.324*x0**2*exp((0.94 - 0.553*x0)/(0.878*x0**2 + 0.022*x0*x1 + 0.151*x0 + 0.442*x1 + 0.108)) + 6.38*x0*exp((0.94 - 0.553*x0)/(0.878*x0**2 + 0.022*x0*x1 + 0.151*x0 + 0.442*x1 + 0.108)) - 0.652*x1*exp((0.94 - 0.553*x0)/(0.878*x0**2 + 0.022*x0*x1 + 0.151*x0 + 0.442*x1 + 0.108)) + 1.77*exp((0.94 - 0.553*x0)/(0.878*x0**2 + 0.022*x0*x1 + 0.151*x0 + 0.442*x1 + 0.108)))/(0.317*x0 + 0.689*exp((0.94 - 0.553*x0)/(0.878*x0**2 + 0.022*x0*x1 + 0.151*x0 + 0.442*x1 + 0.108)) - 0.652),999724
2,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,500,0.001,1,False,4,0,0,cpu,0.0001,4800,1000000,True,10,strogatz_bacres1,20 - x - (x * y)/(1+0.5 * x**2),(0.001*x0**2 - 0.083832167888056*x0*exp(0.002*x0 - 1.071*x1) - 0.024*x0 - 0.0518961039307013*x1*exp(0.002*x0 - 1.071*x1) + 0.003*x1 - 0.862273726848576*exp(0.002*x0 - 1.071*x1) - 0.035)/(-0.001*x0 - 0.0109780219853407*x1*exp(0.002*x0 - 1.071*x1) + 0.998001998667333*exp(0.002*x0 - 1.071*x1) - 0.002),0.00030211333296786813,0.0006355910654460644,0.0026192129659982984,0.9999999181057696,0.9999931397234387,False,2064.16,21,15,0.012722767858750574,0.9998381311780123,0.9999625259354578,(0.002*x0**2 - 0.083832167888056*x0*exp(0.002*x0 - 1.071*x1) - 0.045*x0 - 0.0518961039307013*x1*exp(0.002*x0 - 1.071*x1) + 0.005*x1 - 0.862273726848576*exp(0.002*x0 - 1.071*x1) - 0.02)/(-0.002*x0 - 0.0109780219853407*x1*exp(0.002*x0 - 1.071*x1) + 0.998001998667333*exp(0.002*x0 - 1.071*x1) - 0.001),997668
3,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0,cpu,0.0001,4800,1000000,True,10,strogatz_bacres1,20 - x - (x * y)/(1+0.5 * x**2),(0.00749459805459906*x0**2 - 0.000474341649025257*x0*x1 - 0.123518565406177*x0 - 9.48683298050514e-5*x1**2 + 0.0283656306117104*x1 - 0.550520917858713)/(-0.008*x0 - 0.0276785931454413),0.0005793656448492794,0.0006715980171351925,0.0017235993681684342,0.9999996513118601,0.999997029205218,False,2088.454,16,9,0.012402983577463904,0.9998461659983772,0.9999824058605653,(0.00849535167017823*x0**2 - 0.000419523539268061*x0*x1 - 0.137079316455839*x0 + 0.0263251020890708*x1 - 0.608728655477956)/(-0.007*x0 - 0.0386711230473811),999597
4,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.0,0.0,basinhopping,1,0.01,,BFGS,50,500,0.001,1,False,4,0,0,cpu,0.0001,4800,1000000,True,10,strogatz_bacres2,10 - (x * y)/(1+0.5 * x**2),(0.011*x0**3 + 0.012*x0**2*x1 - 1.613*x0**2*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) - 0.015*x0**2 - 0.049*x0*x1**2 - 1.724*x0*x1*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.004*x0*x1 + 0.016*x0*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) - 0.015*x0 - 0.075*x1**3 + 0.403*x1**2*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.037*x1**2 - 0.068*x1*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.011*x1 + 0.005*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.004)/(0.001*x0**3 - 0.541*x0**2*x1 - 0.162*x0**2*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.001*x0**2 + 0.595*x0*x1**2 - 0.204*x0*x1*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.498*x0*x1 - 0.049*x0*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.016*x0 - 0.092*x1**3 - 0.002*x1**2*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.018*x1**2 + 0.053*x1*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) - 0.011*x1 + 0.151*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.001),0.0006646409268829491,0.00041796818833405246,0.008081738086070623,0.9999992376072987,0.9999346855095081,False,2176.823,41,41,0.008081738086070623,0.9999346855095081,0.9999996355559435,(0.011*x0**3 + 0.012*x0**2*x1 - 1.613*x0**2*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) - 0.015*x0**2 - 0.049*x0*x1**2 - 1.724*x0*x1*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.004*x0*x1 + 0.016*x0*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) - 0.015*x0 - 0.075*x1**3 + 0.403*x1**2*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.037*x1**2 - 0.068*x1*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.011*x1 + 0.005*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.004)/(0.001*x0**3 - 0.541*x0**2*x1 - 0.162*x0**2*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.001*x0**2 + 0.595*x0*x1**2 - 0.204*x0*x1*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.498*x0*x1 - 0.049*x0*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.016*x0 - 0.092*x1**3 - 0.002*x1**2*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.018*x1**2 + 0.053*x1*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) - 0.011*x1 + 0.151*exp((0.076*x0**2 + 0.261*x0*x1 + 0.017*x0 + 0.041*x1**2 + 0.111*x1 + 0.02)/(-0.089*x0 + 0.473*x1 - 0.877)) + 0.001),999270
5,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.0,0.0,basinhopping,1,0.01,,BFGS,50,1000,0.001,1,False,4,0,0,cpu,0.0001,4800,1000000,True,10,strogatz_bacres2,10 - (x * y)/(1+0.5 * x**2),0.073*sqrt(Abs(-7.099*x0**2 + 2.834*x0*x1 - 0.283*x1**2 + 0.019*x1 + 0.143))/(-0.917*x0 + 0.187*x1 + 0.352*sqrt(Abs(-7.099*x0**2 + 2.834*x0*x1 - 0.283*x1**2 + 0.019*x1 + 0.143)) + 0.002),0.00040194308674479585,0.00035091653319842644,0.013039384777682368,0.9999998392796506,0.9998299744446195,False,2196.609,11,11,0.013039384777682368,0.9998299744446195,0.9999997576326566,0.073*sqrt(Abs(-7.099*x0**2 + 2.834*x0*x1 - 0.283*x1**2 + 0.019*x1 + 0.143))/(-0.917*x0 + 0.187*x1 + 0.352*sqrt(Abs(-7.099*x0**2 + 2.834*x0*x1 - 0.283*x1**2 + 0.019*x1 + 0.143)) + 0.002),999968
6,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,500,0.001,1,False,4,0,0,cpu,0.0001,4800,1000000,True,10,strogatz_bacres2,10 - (x * y)/(1+0.5 * x**2),(0.251*x0*exp((0.001*x0 - 0.012)/(0.043*x0**2 - 0.004*x0*x1 - 0.943*x0 - 0.002*x1**2 + 0.213*x1 + 0.254)) - 0.05*x1*exp((0.001*x0 - 0.012)/(0.043*x0**2 - 0.004*x0*x1 - 0.943*x0 - 0.002*x1**2 + 0.213*x1 + 0.254)) + 0.061*exp((0.001*x0 - 0.012)/(0.043*x0**2 - 0.004*x0*x1 - 0.943*x0 - 0.002*x1**2 + 0.213*x1 + 0.254)))/(0.025*x0 - 0.703*exp((0.001*x0 - 0.012)/(0.043*x0**2 - 0.004*x0*x1 - 0.943*x0 - 0.002*x1**2 + 0.213*x1 + 0.254)) + 0.711),0.00048689365878642885,0.0005663727840114059,0.02577791874886244,0.999999857380144,0.9993354989049771,False,2064.997,16,11,0.010206120010195071,0.9998958351143376,0.9999990479076909,(0.249*x0*exp(-0.02/(-0.028*x0**2 - 0.945*x0 + 0.206*x1 + 0.253)) - 0.05*x1*exp(-0.02/(-0.028*x0**2 - 0.945*x0 + 0.206*x1 + 0.253)) + 0.067*exp(-0.02/(-0.028*x0**2 - 0.945*x0 + 0.206*x1 + 0.253)))/(0.025*x0 + 0.712 - 0.702*exp(-0.02/(-0.028*x0**2 - 0.945*x0 + 0.206*x1 + 0.253))),997987
7,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.0,0.0,basinhopping,1,0.01,,BFGS,100,1000,0.001,1,False,4,0,0,cpu,0.0001,4800,1000000,True,10,strogatz_bacres2,10 - (x * y)/(1+0.5 * x**2),(-3.124*x0 + 0.614*x1 + 0.007*sqrt(Abs((0.001*x0 - 0.001*x1)/(0.275*x0**2 + 0.003*x0*x1 + 0.409*x0 + 0.021*x1**2 - 0.629*x1 + 0.6))) + 0.002)/(0.086*x0*sqrt(Abs((0.001*x0 - 0.001*x1)/(0.275*x0**2 + 0.003*x0*x1 + 0.409*x0 + 0.021*x1**2 - 0.629*x1 + 0.6))) - 0.302*x0 + 0.348*x1*sqrt(Abs((0.001*x0 - 0.001*x1)/(0.275*x0**2 + 0.003*x0*x1 + 0.409*x0 + 0.021*x1**2 - 0.629*x1 + 0.6))) - 0.015*x1 + 0.883*sqrt(Abs((0.001*x0 - 0.001*x1)/(0.275*x0**2 + 0.003*x0*x1 + 0.409*x0 + 0.021*x1**2 - 0.629*x1 + 0.6))) + 0.025),0.0002252873541621902,0.000248707680613069,0.01799311999070228,0.9999999530246055,0.9996762476330002,False,2166.001,22,22,0.01799311999070228,0.9996762476330002,0.9999999638742093,(-3.124*x0 + 0.614*x1 + 0.007*sqrt(Abs((0.001*x0 - 0.001*x1)/(0.275*x0**2 + 0.003*x0*x1 + 0.409*x0 + 0.021*x1**2 - 0.629*x1 + 0.6))) + 0.002)/(0.086*x0*sqrt(Abs((0.001*x0 - 0.001*x1)/(0.275*x0**2 + 0.003*x0*x1 + 0.409*x0 + 0.021*x1**2 - 0.629*x1 + 0.6))) - 0.302*x0 + 0.348*x1*sqrt(Abs((0.001*x0 - 0.001*x1)/(0.275*x0**2 + 0.003*x0*x1 + 0.409*x0 + 0.021*x1**2 - 0.629*x1 + 0.6))) - 0.015*x1 + 0.883*sqrt(Abs((0.001*x0 - 0.001*x1)/(0.275*x0**2 + 0.003*x0*x1 + 0.409*x0 + 0.021*x1**2 - 0.629*x1 + 0.6))) + 0.025),999523
8,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.0,0.0,basinhopping,1,0.01,,BFGS,50,500,0.001,1,False,4,0,0,cpu,0.0001,4800,1000000,True,10,strogatz_barmag1, 0.5 * sin(x - y) - sin(x),(0.465*x0**3*x1 - 0.134*x0**3*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) + 0.647*x0**3 - 0.421*x0**2*x1**2 - 0.151*x0**2*x1*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 1.936*x0**2*x1 + 1.133*x0**2*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 4.214*x0**2 + 0.25*x0*x1**3 + 0.178*x0*x1**2*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) + 0.134*x0*x1**2 - 0.004*x0*x1*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 0.017*x0*x1 - 0.056*x0*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 0.022*x0 - 0.034*x1**3*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 0.009*x1**3 - 0.03*x1**2*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) + 0.125*x1**2 - 0.023*x1*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) + 0.058*x1 - 0.062*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 0.003)/(-0.093*x0**3 + 0.148*x0**2*x1 - 0.116*x0**2*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 0.597*x0**2 - 0.005*x0*x1**2 - 0.07*x0*x1*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 0.013*x0*x1 - 0.13*x0*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) + 0.064*x0 - 0.213*x1**3 - 0.724*x1**2*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 0.059*x1**2 - 0.01*x1*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) + 0.011*x1 + 0.011*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) + 0.016),0.0038128178133086947,0.004169804514973019,0.007300494155875682,0.9999854593758635,0.99994670278508,False,2231.604,45,45,0.007300494155875841,0.99994670278508,0.9999826497949709,(0.465*x0**3*x1 - 0.134*x0**3*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) + 0.647*x0**3 - 0.421*x0**2*x1**2 - 0.151*x0**2*x1*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 1.936*x0**2*x1 + 1.133*x0**2*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 4.214*x0**2 + 0.25*x0*x1**3 + 0.178*x0*x1**2*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) + 0.134*x0*x1**2 - 0.004*x0*x1*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 0.017*x0*x1 - 0.056*x0*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 0.022*x0 - 0.034*x1**3*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 0.009*x1**3 - 0.03*x1**2*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) + 0.125*x1**2 - 0.023*x1*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) + 0.058*x1 - 0.062*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 0.003)/(-0.093*x0**3 + 0.148*x0**2*x1 - 0.116*x0**2*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 0.597*x0**2 - 0.005*x0*x1**2 - 0.07*x0*x1*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 0.013*x0*x1 - 0.13*x0*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) + 0.064*x0 - 0.213*x1**3 - 0.724*x1**2*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) - 0.059*x1**2 - 0.01*x1*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) + 0.011*x1 + 0.011*exp((-0.626*x0 - 0.016*x1 + 3.085)/(-0.043*x0 - 0.068*x1 + 0.997)) + 0.016),999586
9,2,4,2,3,"[1, 1, 1]","[1, 1, 1]",1,"['sqrt', 'cos', 'exp']",3,3,100,0,0.0,0.0,basinhopping,1,0.01,,BFGS,50,1000,0.001,1,False,4,0,0,cpu,0.0001,4800,1000000,True,10,strogatz_barmag1, 0.5 * sin(x - y) - sin(x),1.0*cos(1.0*x0 - 4.712) - 0.5*cos(1.0*x0 - 1.0*x1 + 1.571),3.2637292572750247e-06,2.7012917667105174e-06,3.0901367041658753e-06,0.9999999999929017,0.9999999999904511,True,1753.441,8,8,3.0901367041658753e-06,0.9999999999904511,0.9999999999883628,1.0*cos(1.0*x0 - 4.712) - 0.5*cos(1.0*x0 - 1.0*x1 + 1.571),784232
