,dataset,relative_l2_train,relative_l2_val,success,training_time
0,strogatz_bacres1,0.0003668949746696914,0.0005342653990791626,0.0,2144.1515
1,strogatz_bacres2,0.000444691256644091,0.0003959912965392385,0.0,2151.1075
2,strogatz_barmag1,0.0017435055120778485,0.001864667652258394,0.25,2035.04775
3,strogatz_barmag2,0.0009611895088058754,0.0013684356652242321,0.25,2390.58975
4,strogatz_glider1,3.82173861362383e-08,2.9263248582662247e-08,1.0,72.412
5,strogatz_glider2,0.0002588899844409808,0.00033368948280541893,0.25,2013.6842499999998
6,strogatz_lv1,1.563211749611096e-06,2.309087676549343e-05,1.0,36.12025
7,strogatz_lv2,6.506389120772608e-08,1.7751937317079654e-07,1.0,1.5225
8,strogatz_predprey1,2.2225818514497288e-05,4.2167123539556146e-05,0.75,560.4702500000001
9,strogatz_predprey2,5.904993239925262e-06,4.972830078185274e-06,1.0,177.10549999999998
10,strogatz_shearflow1,0.006401456149202264,0.01990411269516862,0.0,2175.67175
11,strogatz_shearflow2,0.004517477922595028,0.005528999870819094,0.25,2063.343
12,strogatz_vdp1,2.0224941664979082e-07,2.3541054921947404e-07,1.0,1.63325
13,strogatz_vdp2,2.8450972831044537e-08,2.8798440310615405e-08,1.0,1.6869999999999998
