,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,lambda_1_finetuning,seed,relative_l2_train,relative_l2_val,success,training_time
0,1,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1,17968.74341648436,20032.019058265036,0.13333333333333333,1.8423333333333332
1,1,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12,17998.256235472563,20581.009747799082,0.2,1.3668
2,1,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123,60411.05374354107,200642.0754437275,0.2,1.8240666666666667
3,1,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234,180925.84535465803,183719.46774650677,0.2,1.3124666666666667
4,1,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12345,220524.27557605164,178726.37030816727,0.13333333333333333,5.683999999999999
5,1,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123456,28208.39950070058,31653.95026891168,0.2,2.4356
6,1,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234567,26750.61333333316,28333.45922965647,0.3333333333333333,2.1597333333333335
7,2,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1,17964.743520905362,20027.89838605335,0.3333333333333333,4.949266666666667
8,2,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12,17998.184314699298,20579.65878962124,0.26666666666666666,3.927333333333333
9,2,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123,48713.8684443968,48338.27936310427,0.3333333333333333,3.458
10,2,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234,180925.79737272632,183719.2324418727,0.3333333333333333,3.2687999999999997
11,2,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12345,114562.08754887998,118167.99009936357,0.26666666666666666,6.8216
12,2,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123456,21062.872233840524,20232.839009167743,0.26666666666666666,5.344733333333334
13,2,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234567,26749.90704501216,28331.5015702287,0.3333333333333333,4.6612
14,5,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1,2544.1066400569302,2563.9286471489477,0.5333333333333333,11.8968
15,5,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12,16960.79438220666,16849.104585134588,0.4666666666666667,12.535333333333336
16,5,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123,33111.22796195251,48890.72022688654,0.4666666666666667,9.496933333333335
17,5,0,0.0,0.0,bfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234,40720.2955719267,75153.58375433699,0.4,14.496333333333332
