,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,lambda_1_finetuning,seed,relative_l2_train,relative_l2_val,success,training_time
0,10,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1,0.5132493406207609,1.3100047464492823,0.3333333333333333,2.481666666666667
1,10,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12,0.24339875158657107,70.97040374289115,0.4,2.0609333333333333
2,10,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123,1.264837839634404,516.0551699017054,0.4,2.0170666666666666
3,10,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234,16071.944405406532,15504.335190901418,0.26666666666666666,2.3349333333333333
4,10,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12345,6903.626662983264,7144.717199965614,0.26666666666666666,2.4776666666666665
5,10,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123456,6920.2398463299405,6482.977613516732,0.26666666666666666,2.0639333333333334
6,10,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234567,3813.0380104534943,4013.7363858882295,0.26666666666666666,2.3464666666666667
7,20,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1,0.5130975778130044,1.309860050343343,0.4,3.3097333333333334
8,20,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12,0.23022401572661708,70.79015231776393,0.4666666666666667,3.0929333333333333
9,20,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123,0.3619385696611666,405.21836699713083,0.4,3.1071999999999997
10,20,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234,8683.200105336235,8523.60781305526,0.26666666666666666,3.457466666666667
11,20,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12345,6903.620105678459,7144.57705436904,0.3333333333333333,3.405466666666667
12,20,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123456,5911.8708422610525,5513.366361610809,0.26666666666666666,3.0729333333333333
13,20,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234567,3813.0129840507784,4013.7132902505855,0.3333333333333333,3.4646
14,50,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1,0.2931334945300389,2405.984994631564,0.4666666666666667,6.4076666666666675
15,50,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12,0.22272346161069265,70.78236200671971,0.4666666666666667,5.801266666666667
16,50,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123,0.31821548106501,405.1756586632158,0.4,6.222666666666667
17,50,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234,3444.4700038694677,3517.2355282957383,0.26666666666666666,6.6820666666666675
18,50,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12345,0.46577237075617456,98.98053903799665,0.4666666666666667,6.601866666666667
19,50,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123456,5911.843816400594,5513.332354476733,0.3333333333333333,6.1248
20,50,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234567,0.17472877186313127,261.1066594424708,0.4,6.563266666666666
21,100,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1,0.21949290394364193,45.18104785184797,0.5333333333333333,11.464733333333333
22,100,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12,0.1370071142016028,0.1399850363113829,0.4666666666666667,10.906733333333333
23,100,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123,0.31794722392587504,270.74153534916815,0.4,11.681466666666665
24,100,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1234,3444.4225954369454,3517.178478303734,0.4,11.9564
25,100,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,12345,0.14261351110285025,0.14494205749168582,0.4,11.955333333333332
26,100,0,0.0,0.0,basinhopping,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,123456,4952.081840238806,4465.655772513388,0.3333333333333333,11.039466666666666
