,dataset,relative_l2_train,relative_l2_val,success,training_time
0,feynman_III_4_33,0.0021494872349799585,0.002328925846253358,0.0,21.619857142857143
1,feynman_III_8_54,1.4251319078006065e-05,1.491302217964782e-05,1.0,82.20128571428572
2,feynman_II_15_4,5.5093173119737426e-08,5.52871113225263e-08,1.0,235.1692857142857
3,feynman_II_24_17,0.0014287002915141591,0.0014667648636565833,0.0,127.05728571428571
4,feynman_II_34_29b,8.288624824535014e-08,8.164262106506857e-08,1.0,311.62314285714285
5,feynman_I_12_5,7.713836274936353e-08,7.737060511405518e-08,1.0,45.638714285714286
6,feynman_I_18_4,1.026926806758626e-07,1.0898593175186139e-07,1.0,116.98185714285715
7,feynman_I_38_12,0.0001642000509785752,0.0006042047296987834,0.0,188.99371428571428
8,feynman_I_39_22,7.98444304678695e-08,7.926359684608933e-08,1.0,152.90785714285715
9,feynman_I_40_1,0.00032325771600600045,0.00044009261966091216,0.2857142857142857,137.356
10,feynman_I_43_31,7.966898421709473e-08,7.988960323703819e-08,1.0,87.71428571428571
11,feynman_I_8_14,0.08563452858481553,0.08817642618296732,0.2857142857142857,78.59528571428572
12,feynman_I_9_18,0.0005837388850876969,0.00100449041615456,0.0,921.0252857142857
13,feynman_test_17,1.1277085798220965,1.1210257868115143,0.0,13.488428571428571
14,feynman_test_18,0.0010204957778069074,0.003398851150955521,0.0,386.3267142857143
