,seed,model,maxiter1,maxiter2,target_noise,feature_noise,optimizer,pruning_iterations,pruning_cut_off,classifier,local_minimizer,maxiter_per_dim_local_minimizer,max_dataset_length,lambda_1,repetitions,parallel,n_processes,lambda_1_cut,lambda_1_piecewise,device,accuracy,time_limit,evaluations_limit,iterative_finetuning,max_n_active_parameters,lambda_1_finetuning,relative_l2_train,relative_l2_val,success,training_time
0,1,ParFamTorch,1,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,4.8803266921915,9.237042476225781,0.06666666666666667,642.7219333333334
1,1,ParFamTorch,2,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.43127321161432025,1.7888358950100909,0.06666666666666667,648.5478
2,1,ParFamTorch,5,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.27473808924627574,0.2777949670072516,0.06666666666666667,666.0833333333334
3,1,ParFamTorch,10,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2741355676621398,0.27731757579570215,0.2,695.4292
4,1,ParFamTorch,20,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.24380915665996103,0.24572632409166653,0.4,746.3184666666667
5,12,ParFamTorch,1,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,2.867652354643275,133.13973266735923,0.13333333333333333,642.8407333333332
6,12,ParFamTorch,2,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2927402340401528,0.3216808262179718,0.26666666666666666,648.4915333333333
7,12,ParFamTorch,5,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.22809422009303484,0.24649058155070055,0.4,663.5866666666667
8,12,ParFamTorch,10,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21147018361008518,0.21378424243910285,0.4666666666666667,685.2534
9,12,ParFamTorch,20,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.15990664244165717,2926.0302837453437,0.4666666666666667,435.3544
10,123,ParFamTorch,1,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.32482739301934316,5.348172027097289,0.2,643.0346000000001
11,123,ParFamTorch,2,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.25410013059951575,4.087578064947646,0.26666666666666666,647.6357333333333
12,123,ParFamTorch,5,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2155036288378138,0.3247892711014163,0.26666666666666666,662.8706000000001
13,123,ParFamTorch,10,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.21352775500483714,0.32295505268806735,0.4,685.3277333333333
14,123,ParFamTorch,20,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.14263968446709643,0.15444122984199274,0.4,127.27286666666667
15,1234,ParFamTorch,1,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,4.202616844759055,181.0855059611036,0.13333333333333333,642.5869333333334
16,1234,ParFamTorch,2,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.7640406342667343,7.002847325453652,0.2,648.1540666666666
17,1234,ParFamTorch,5,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2852612341712804,0.2872554300410726,0.3333333333333333,662.6899333333333
18,1234,ParFamTorch,10,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2565305802535694,0.262131854097548,0.3333333333333333,687.4854666666666
19,1234,ParFamTorch,20,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.09524854405627638,1142.3842933893743,0.4,127.2666
20,12345,ParFamTorch,1,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,1.5060164511584422,5.702333618669448,0.06666666666666667,642.7901333333334
21,12345,ParFamTorch,2,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.3115600685595927,1.1602185263404907,0.2,648.374
22,12345,ParFamTorch,5,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.2115213356070652,0.21128206996102544,0.3333333333333333,665.6268
23,12345,ParFamTorch,10,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.09550006106785491,2829.561826659527,0.4,67.0236
24,12345,ParFamTorch,20,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.09327397752995605,2829.559438767538,0.4666666666666667,129.36366666666666
25,123456,ParFamTorch,1,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.6451681511731845,5.6588076236921605,0.06666666666666667,642.8282
26,123456,ParFamTorch,2,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.4972688182934198,4.881740146048225,0.13333333333333333,649.1098000000001
27,123456,ParFamTorch,5,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.34928042970054685,0.46357964013450415,0.26666666666666666,664.2639999999999
28,123456,ParFamTorch,10,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.1624320768573872,2191.8649727246207,0.26666666666666666,65.62673333333333
29,123456,ParFamTorch,20,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.08953476601103331,0.09147796108493395,0.3333333333333333,130.03053333333335
30,1234567,ParFamTorch,1,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,2.494586394870273,356.76450061305775,0.13333333333333333,642.6600666666667
31,1234567,ParFamTorch,2,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.34344727769611183,5.799147055317483,0.2,648.4950000000001
32,1234567,ParFamTorch,5,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.28841850476114195,19532.3360019041,0.26666666666666666,352.8197333333334
33,1234567,ParFamTorch,10,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.1464363842121495,46590.00197769831,0.26666666666666666,72.41853333333333
34,1234567,ParFamTorch,20,0,0.0,0.0,lbfgs,1,0.01,None,BFGS,100,1000,0.001,1,False,4,0,0.0,cpu,0.0001,4800,1000000,True,10,0.01,0.13867207010142366,46589.81893667041,0.4,137.25526666666664
