,formula,classifier,rel_l2_distance,success
0,5.997*sin(1.462*x0 - 4.439)*sqrt(Abs(1.079*x0 + 1.332)),False,3.3286850916484376e-07,True
1,5.997*sin(1.462*x0 - 4.439)*sqrt(Abs(1.079*x0 + 1.332)),True,3.588303425870095e-07,True
2,2.604*x0*sin(0.56*x0 + 2.795) + 3.827*x0,False,0.05132201512860327,False
3,2.604*x0*sin(0.56*x0 + 2.795) + 3.827*x0,True,7.220195897426694e-08,True
4,-1.375*x0,False,1.700323648665349e-07,True
5,-1.375*x0,True,3.392629988605835e-08,True
6,-0.137*sin(7.051*x0**2 - 3.124*x0 + 2.104) + 0.203*sqrt(Abs(1.901*x0 + 0.553)),False,0.11560644520540658,False
7,-0.137*sin(7.051*x0**2 - 3.124*x0 + 2.104) + 0.203*sqrt(Abs(1.901*x0 + 0.553)),True,0.14894259992704884,False
8,-3.907*x0*sin(5.384*x0**2) + 2.681*sin(5.384*x0**2)*sqrt(Abs(0.276*x0**2 + 2.406*x0 - 1.149)),False,0.34677943691373736,False
9,-3.907*x0*sin(5.384*x0**2) + 2.681*sin(5.384*x0**2)*sqrt(Abs(0.276*x0**2 + 2.406*x0 - 1.149)),True,0.7147261044459494,False
10,-6.929*sin(2.451*x0**2 + 2.37*x0 + 4.415)*sqrt(Abs(2.486*x0 - 1.428)) - 1.873*sin(2.451*x0**2 + 2.37*x0 + 4.415),False,0.5976711154399686,False
11,-6.929*sin(2.451*x0**2 + 2.37*x0 + 4.415)*sqrt(Abs(2.486*x0 - 1.428)) - 1.873*sin(2.451*x0**2 + 2.37*x0 + 4.415),True,0.8132233194737868,False
12,2.952*x0**2 - 1.724*x0*sin(3.151*x0**2 + 0.204*x0 - 1.566),False,1.1454458949360492e-06,True
13,2.952*x0**2 - 1.724*x0*sin(3.151*x0**2 + 0.204*x0 - 1.566),True,7.639722705988183e-07,True
14,0.184*x0,False,1.031661481227459e-07,True
15,0.184*x0,True,3.871506323753572e-08,True
16,-1.467*x0*sqrt(Abs(2.281*x0**2 - 2.23*x0)) + 2.744*sin(0.432*x0**2 - 0.264),False,7.382739578681593e-08,True
17,-1.467*x0*sqrt(Abs(2.281*x0**2 - 2.23*x0)) + 2.744*sin(0.432*x0**2 - 0.264),True,7.466541908881724e-08,True
18,-0.424*x0**2 + 0.609*x0*sin(1.261*x0**2 + 3.998*x0 + 1.09),False,0.09568428825837769,False
19,-0.424*x0**2 + 0.609*x0*sin(1.261*x0**2 + 3.998*x0 + 1.09),True,0.10354728454256505,False
20,5.56300000000000,False,3.932059610362195e-09,True
21,5.56300000000000,True,0.0,True
22,4.276*x0 + 2.025*sin(3.93*x0),False,0.048729565687834105,False
23,4.276*x0 + 2.025*sin(3.93*x0),True,0.05791472741821035,False
24,0.653*x0,False,1.3774658347372598e-07,True
25,0.653*x0,True,4.1354466971865716e-08,True
26,1.357*sin(4.072*x0**2 + 1.044),False,0.4881874171113098,False
27,1.357*sin(4.072*x0**2 + 1.044),True,1.0778516307145298e-05,True
28,-0.64*x0*sin(6.289*x0**2),False,0.35198252425565413,False
29,-0.64*x0*sin(6.289*x0**2),True,2.8134601597145535e-05,True
30,-0.528*x0**2 - 0.601*sin(3.249*x0**2),False,0.008454259129761867,False
31,-0.528*x0**2 - 0.601*sin(3.249*x0**2),True,0.016762016903995425,False
32,-6.21*sin(1.577*x0**2 + 0.474*x0)*sqrt(Abs(1.442*x0**2 + 0.934*x0 + 1.045)) + 0.612*sin(1.577*x0**2 + 0.474*x0),False,0.3833347067232324,False
33,-6.21*sin(1.577*x0**2 + 0.474*x0)*sqrt(Abs(1.442*x0**2 + 0.934*x0 + 1.045)) + 0.612*sin(1.577*x0**2 + 0.474*x0),True,0.745704481339453,False
34,5.072*sin(3.342*x0 - 4.031)*sqrt(Abs(0.539*x0**2 - 1.074*x0)),False,0.4877227603342465,False
35,5.072*sin(3.342*x0 - 4.031)*sqrt(Abs(0.539*x0**2 - 1.074*x0)),True,1.7207844568215278e-06,True
36,-3.653*sin(2.307*x0**2 - 2.944),False,7.413473729484915e-06,True
37,-3.653*sin(2.307*x0**2 - 2.944),True,7.38027293114359e-06,True
38,-3.00775414005201*x0*sqrt(Abs(x0**2)) - 2.751*sin(0.231*x0**2 - 1.3),False,8.297551982412922e-08,True
39,-3.00775414005201*x0*sqrt(Abs(x0**2)) - 2.751*sin(0.231*x0**2 - 1.3),True,7.927953505813121e-08,True
