,formula,classifier,rel_l2_distance,success,estimated_formula,training_time
0,-0.646*sin(0.489*x0**2 - 0.335) - 1.402*sqrt(Abs(2.005*x0**2 + 0.162*x0 - 2.645)),False,0.03099281132409869,False,0.007*x0**2 - 0.001*x0*sin(0.488*x0**2 - 0.279) + 0.002*x0*sqrt(Abs(0.591*x0**2 + 0.014*x0 + 0.877)) - 0.021*x0 - 0.114*sin(0.488*x0**2 - 0.279)*sqrt(Abs(0.591*x0**2 + 0.014*x0 + 0.877)) + 0.002*sin(0.488*x0**2 - 0.279) - 2.841*sqrt(Abs(0.591*x0**2 + 0.014*x0 + 0.877)) + 1.493,19.348275184631348
1,-0.646*sin(0.489*x0**2 - 0.335) - 1.402*sqrt(Abs(2.005*x0**2 + 0.162*x0 - 2.645)),True,8.808770767807115e-08,True,-0.646*sin(0.489*x0**2 - 0.335) - 2.632*sqrt(Abs(0.569*x0**2 + 0.046*x0 - 0.751)),23.99100613594055
2,0.662*x0*sin(2.396*x0**2),False,0.34176123897924576,False,-0.004*x0**2 + 0.048*x0*sin(2.393*x0**2 - 0.191*x0 + 1.799) - 0.003*x0*sqrt(Abs(-0.873*x0**2 + 1.183*x0 + 2.413)) + 0.022*x0 + 0.809*sin(2.393*x0**2 - 0.191*x0 + 1.799)*sqrt(Abs(-0.873*x0**2 + 1.183*x0 + 2.413)) - 0.756*sin(2.393*x0**2 - 0.191*x0 + 1.799) + 0.041*sqrt(Abs(-0.873*x0**2 + 1.183*x0 + 2.413)) - 0.103,16.130125522613525
3,0.662*x0*sin(2.396*x0**2),True,0.9309050505966997,False,-0.258*x0*sin(5.84*x0**2),4.163051605224609
4,-2.814*x0*sin(1.989*x0**2 - 2.091*x0 + 3.974) + 1.703*sin(1.989*x0**2 - 2.091*x0 + 3.974),False,0.7474573675781607,False,-0.008*x0**2 + 1.53*x0*sin(-1.858*x0**2 + 0.214*x0 + 2.294) + 0.012*x0*sqrt(Abs(-0.889*x0**2 + 0.989*x0 + 0.36)) - 0.049*x0 + 1.121*sin(-1.858*x0**2 + 0.214*x0 + 2.294)*sqrt(Abs(-0.889*x0**2 + 0.989*x0 + 0.36)) - 1.013*sin(-1.858*x0**2 + 0.214*x0 + 2.294) + 0.043*sqrt(Abs(-0.889*x0**2 + 0.989*x0 + 0.36)) + 0.049,18.00713038444519
5,-2.814*x0*sin(1.989*x0**2 - 2.091*x0 + 3.974) + 1.703*sin(1.989*x0**2 - 2.091*x0 + 3.974),True,0.7199674735735475,False,0.954*x0*sin(-1.907*x0**2 + 0.874*x0 + 0.265) + 2.258*sin(-1.907*x0**2 + 0.874*x0 + 0.265)*sqrt(Abs(-0.734*x0**2 + 0.158*x0 + 1.605)) - 2.675*sin(-1.907*x0**2 + 0.874*x0 + 0.265),16.882808446884155
6,-4.552*x0 + 4.581*sin(-5.523*x0**2 + 3.47*x0 + 0.942),False,0.11957476252770037,False,-0.002*x0**2 - 0.14*x0*sin(1.882*x0**2 - 0.008*x0) + 0.0143310502057595*x0*sqrt(Abs(x0**2)) - 4.693*x0 - 0.0143310502057595*sin(1.882*x0**2 - 0.008*x0)*sqrt(Abs(x0**2)) + 0.014,23.044094800949097
7,-4.552*x0 + 4.581*sin(-5.523*x0**2 + 3.47*x0 + 0.942),True,0.11998930775905348,False,-4.585*x0 + 0.764*sin(-0.695*x0**2 + 0.136*x0 + 0.679),15.211151599884033
8,0.944*x0*sin(2.042*x0**2 + 5.451*x0 + 3.97) + 0.548*x0,False,0.6012709325489264,False,0.02*x0**2 + 0.46*x0*sin(-1.685*x0**2 + 0.041*x0 + 0.88) + 0.007*x0*sqrt(Abs(0.142*x0**2 + 0.563*x0 - 0.477)) + 0.581*x0 - 1.954*sin(-1.685*x0**2 + 0.041*x0 + 0.88)*sqrt(Abs(0.142*x0**2 + 0.563*x0 - 0.477)) + 1.406*sin(-1.685*x0**2 + 0.041*x0 + 0.88) - 0.403*sqrt(Abs(0.142*x0**2 + 0.563*x0 - 0.477)) - 0.144,16.271134853363037
9,0.944*x0*sin(2.042*x0**2 + 5.451*x0 + 3.97) + 0.548*x0,True,0.6871632690164124,False,-0.442*x0*sin(1.722*x0**2 - 0.113*x0 + 2.162) + 0.559*x0,9.669431447982788
