,formula,classifier,rel_l2_distance,success,estimated_formula,training_time,iter
0,-0.646*sin(0.489*x0**2 - 0.335) - 1.402*sqrt(Abs(2.005*x0**2 + 0.162*x0 - 2.645)),False,0.0309928113240986,False,0.007*x0**2 - 0.001*x0*sin(0.488*x0**2 - 0.279) + 0.002*x0*sqrt(Abs(0.591*x0**2 + 0.014*x0 + 0.877)) - 0.021*x0 - 0.114*sin(0.488*x0**2 - 0.279)*sqrt(Abs(0.591*x0**2 + 0.014*x0 + 0.877)) + 0.002*sin(0.488*x0**2 - 0.279) - 2.841*sqrt(Abs(0.591*x0**2 + 0.014*x0 + 0.877)) + 1.493,11.044775485992432,50
1,-0.646*sin(0.489*x0**2 - 0.335) - 1.402*sqrt(Abs(2.005*x0**2 + 0.162*x0 - 2.645)),True,1.0538322013735093e-07,True,-0.646*sin(0.489*x0**2 - 0.335) - 2.59*sqrt(Abs(0.588*x0**2 + 0.047*x0 - 0.775)),14.12628412246704,50
2,0.662*x0*sin(2.396*x0**2),False,0.5972111736297656,False,-0.532*x0*sin(2.378*x0**2 - 0.378*x0 + 1.369) - 0.002*x0*sqrt(Abs(0.034*x0**2 + 0.206*x0 + 0.249)) - 0.003*x0 + 0.332*sin(2.378*x0**2 - 0.378*x0 + 1.369)*sqrt(Abs(0.034*x0**2 + 0.206*x0 + 0.249)) + 0.651*sin(2.378*x0**2 - 0.378*x0 + 1.369) + 0.006*sqrt(Abs(0.034*x0**2 + 0.206*x0 + 0.249)) - 0.044,9.17142128944397,50
3,0.662*x0*sin(2.396*x0**2),True,0.959471760522971,False,-0.191*x0*sin(1.01*x0**2),2.216957092285156,50
4,-2.814*x0*sin(1.989*x0**2 - 2.091*x0 + 3.974) + 1.703*sin(1.989*x0**2 - 2.091*x0 + 3.974),False,0.7465377454206868,False,-2.461*x0*sin(1.817*x0**2 + 0.559*x0 + 6.766) + 0.067*x0*sqrt(Abs(0.027*x0**2 - 0.655*x0 + 1.878)) - 0.087*x0 - 9.467*sin(1.817*x0**2 + 0.559*x0 + 6.766)*sqrt(Abs(0.027*x0**2 - 0.655*x0 + 1.878)) + 12.162*sin(1.817*x0**2 + 0.559*x0 + 6.766) + 0.11*sqrt(Abs(0.027*x0**2 - 0.655*x0 + 1.878)) - 0.038,10.389684200286863,50
5,-2.814*x0*sin(1.989*x0**2 - 2.091*x0 + 3.974) + 1.703*sin(1.989*x0**2 - 2.091*x0 + 3.974),True,0.7359011612192684,False,-1.212*x0*sin(-1.849*x0**2 + 0.028*x0 + 0.071) - 3.008*sin(-1.849*x0**2 + 0.028*x0 + 0.071)*sqrt(Abs(-0.536*x0**2 + 1.146*x0 + 0.356)) + 4.946*sin(-1.849*x0**2 + 0.028*x0 + 0.071),9.654678583145142,50
6,-4.552*x0 + 4.581*sin(-5.523*x0**2 + 3.47*x0 + 0.942),False,0.1173370253895728,False,-0.005*x0**2 - 0.06*x0*sin(1.314*x0**2 + 0.734*x0 + 0.001) + 0.05*x0*sqrt(Abs(0.061*x0**2 + 0.305*x0 + 0.005)) - 4.671*x0 + 0.821*sin(1.314*x0**2 + 0.734*x0 + 0.001)*sqrt(Abs(0.061*x0**2 + 0.305*x0 + 0.005)) + 0.016*sin(1.314*x0**2 + 0.734*x0 + 0.001) + 0.001*sqrt(Abs(0.061*x0**2 + 0.305*x0 + 0.005)),9.534305095672607,50
7,-4.552*x0 + 4.581*sin(-5.523*x0**2 + 3.47*x0 + 0.942),True,0.1190032295582056,False,-4.586*x0 + 0.935*sin(-1.214*x0**2 + 0.521*x0 + 0.425),8.19581913948059,50
8,0.944*x0*sin(2.042*x0**2 + 5.451*x0 + 3.97) + 0.548*x0,False,0.5870351036008977,False,0.012*x0**2 - 0.754*x0*sin(1.728*x0**2 + 0.625*x0 - 4.646) - 0.017*x0*sqrt(Abs(0.121*x0**2 + 0.782*x0 + 1.112)) + 0.626*x0 + 1.796*sin(1.728*x0**2 + 0.625*x0 - 4.646)*sqrt(Abs(0.121*x0**2 + 0.782*x0 + 1.112)) - 2.31*sin(1.728*x0**2 + 0.625*x0 - 4.646) - 0.162*sqrt(Abs(0.121*x0**2 + 0.782*x0 + 1.112)) + 0.031,7.807590961456299,50
9,0.944*x0*sin(2.042*x0**2 + 5.451*x0 + 3.97) + 0.548*x0,True,0.6460779589380156,False,0.53*x0*sin(1.732*x0**2 + 0.613*x0 + 4.554) + 0.56*x0,4.880344867706299,50
